STATE,RATE,URL
AL,32,/nchs/pressroom/states/alabama/alabama.htm
AK,27.8,/nchs/pressroom/states/alaska/alaska.htm
AZ,29.9,/nchs/pressroom/states/arizona/arizona.htm
AR,39.5,/nchs/pressroom/states/arkansas/arkansas.htm
CA,21.1,/nchs/pressroom/states/california/california.htm
CO,20.3,/nchs/pressroom/states/colorado/colorado.htm
CT,11.5,/nchs/pressroom/states/connecticut/connecticut.htm
DE,20.7,/nchs/pressroom/states/delaware/delaware.htm
FL,22.5,/nchs/pressroom/states/florida/florida.htm
GA,28.4,/nchs/pressroom/states/georgia/georgia.htm
HI,23.1,/nchs/pressroom/states/hawaii/hawaii.htm
ID,23.2,/nchs/pressroom/states/idaho/idaho.htm
IL,22.8,/nchs/pressroom/states/illinois/illinois.htm
IN,28,/nchs/pressroom/states/indiana/indiana.htm
IA,19.8,/nchs/pressroom/states/iowa/iowa.htm
KS,27.6,/nchs/pressroom/states/kansas/kansas.htm
KY,35.3,/nchs/pressroom/states/kentucky/kentucky.htm
LA,35.8,/nchs/pressroom/states/louisiana/louisiana.htm
ME,16.5,/nchs/pressroom/states/maine/maine.htm
MD,17.8,/nchs/pressroom/states/maryland/maryland.htm
MA,10.6,/nchs/pressroom/states/massachusetts/massachusetts.htm
MI,21.1,/nchs/pressroom/states/michigan/michigan.htm
MN,15.5,/nchs/pressroom/states/minnesota/minnesota.htm
MS,38,/nchs/pressroom/states/mississippi/mississippi.htm
MO,27.2,/nchs/pressroom/states/missouri/missouri.htm
MT,26.4,/nchs/pressroom/states/montana/montana.htm
NE,22.2,/nchs/pressroom/states/nebraska/nebraska.htm
NV,28.5,/nchs/pressroom/states/nevada/nevada.htm
NH,11,/nchs/pressroom/states/newhampshire/newhampshire.htm
NJ,13.1,/nchs/pressroom/states/newjersey/newjersey.htm
NM,37.8,/nchs/pressroom/states/newmexico/newmexico.htm
NY,16.1,/nchs/pressroom/states/newyork/newyork.htm
NC,25.9,/nchs/pressroom/states/northcarolina/northcarolina.htm
ND,23.9,/nchs/pressroom/states/northdakota/northdakota.htm
OH,25.1,/nchs/pressroom/states/ohio/ohio.htm
OK,38.5,/nchs/pressroom/states/oklahoma/oklahoma.htm
OR,20,/nchs/pressroom/states/oregon/oregon.htm
PA,19.3,/nchs/pressroom/states/pennsylvania/pennsylvania.htm
RI,15.8,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
SC,28.5,/nchs/pressroom/states/southcarolina/southcarolina.htm
SD,26.2,/nchs/pressroom/states/southdakota/southdakota.htm
TN,33,/nchs/pressroom/states/tenessee/tennessee.htm
TX,37.8,/nchs/pressroom/states/texas/texas.htm
UT,19.4,/nchs/pressroom/states/utah/utah.htm
VT,14.2,/nchs/pressroom/states/vermont/vermont.htm
VA,18.4,/nchs/pressroom/states/virginia/virginia.htm
WA,19.1,/nchs/pressroom/states/washington/washington.htm
WV,36.6,/nchs/pressroom/states/westvirginia/westvirginia.htm
WI,18,/nchs/pressroom/states/wisconsin/wisconsin.htm
WY,30.1,/nchs/pressroom/states/wyoming/wyoming.htm
